Date,Close
"Dec 18, 2013",550.77
"Dec 17, 2013",554.99
"Dec 16, 2013",557.50
"Dec 13, 2013",554.43
"Dec 12, 2013",560.54
"Dec 11, 2013",561.36
"Dec 10, 2013",565.55
"Dec 9, 2013",566.43
"Dec 6, 2013",560.02
"Dec 5, 2013",567.90
"Dec 4, 2013",565.00
"Dec 3, 2013",566.32
"Dec 2, 2013",551.23
"Nov 29, 2013",556.07
"Nov 27, 2013",545.96
"Nov 26, 2013",533.40
"Nov 25, 2013",523.74
"Nov 22, 2013",519.80
"Nov 21, 2013",521.14
"Nov 20, 2013",515.00
"Nov 19, 2013",519.55
"Nov 18, 2013",518.63
"Nov 15, 2013",524.99
"Nov 14, 2013",528.16
"Nov 13, 2013",520.63
"Nov 12, 2013",520.01
"Nov 11, 2013",519.05
"Nov 8, 2013",520.56
"Nov 7, 2013",512.49
"Nov 6, 2013",520.92
"Nov 5, 2013",525.45
"Nov 4, 2013",526.75
"Nov 1, 2013",520.03
"Oct 31, 2013",522.70
"Oct 30, 2013",524.90
"Oct 29, 2013",516.68
"Oct 28, 2013",529.88
"Oct 25, 2013",525.96
"Oct 24, 2013",531.91
"Oct 23, 2013",524.96
"Oct 22, 2013",519.87
"Oct 21, 2013",521.36
"Oct 18, 2013",508.89
"Oct 17, 2013",504.50
"Oct 16, 2013",501.11
"Oct 15, 2013",498.68
"Oct 14, 2013",496.04
"Oct 11, 2013",492.81
"Oct 10, 2013",489.64
"Oct 9, 2013",486.59
"Oct 8, 2013",480.94
"Oct 7, 2013",487.75
"Oct 4, 2013",483.03
"Oct 3, 2013",483.41
"Oct 2, 2013",489.56
"Oct 1, 2013",487.96
"Sep 30, 2013",476.75
"Sep 27, 2013",482.75
"Sep 26, 2013",486.22
"Sep 25, 2013",481.53
"Sep 24, 2013",489.10
"Sep 23, 2013",490.64
"Sep 20, 2013",467.41
"Sep 19, 2013",472.30
"Sep 18, 2013",464.68
"Sep 17, 2013",455.32
"Sep 16, 2013",450.12
"Sep 13, 2013",464.90
"Sep 12, 2013",472.69
"Sep 11, 2013",467.71
"Sep 10, 2013",494.64
"Sep 9, 2013",506.17
"Sep 6, 2013",498.22
"Sep 5, 2013",495.27
"Sep 4, 2013",498.69
"Sep 3, 2013",488.58
"Aug 30, 2013",487.22
"Aug 29, 2013",491.70
"Aug 28, 2013",490.90
"Aug 27, 2013",488.59
"Aug 26, 2013",502.97
"Aug 23, 2013",501.02
"Aug 22, 2013",502.96
"Aug 21, 2013",502.36
"Aug 20, 2013",501.07
"Aug 19, 2013",507.74
"Aug 16, 2013",502.33
"Aug 15, 2013",497.91
"Aug 14, 2013",498.50
"Aug 13, 2013",489.57
"Aug 12, 2013",467.36
"Aug 9, 2013",454.45
"Aug 8, 2013",461.01
"Aug 7, 2013",464.98
"Aug 6, 2013",465.25
"Aug 5, 2013",469.45
"Aug 2, 2013",462.54
"Aug 1, 2013",456.68
"Jul 31, 2013",452.53
"Jul 30, 2013",453.32
"Jul 29, 2013",447.79
"Jul 26, 2013",440.99
"Jul 25, 2013",438.50
"Jul 24, 2013",440.51
"Jul 23, 2013",418.99
"Jul 22, 2013",426.31
"Jul 19, 2013",424.95
"Jul 18, 2013",431.76
"Jul 17, 2013",430.31
"Jul 16, 2013",430.20
"Jul 15, 2013",427.44
"Jul 12, 2013",426.51
"Jul 11, 2013",427.29
"Jul 10, 2013",420.73
"Jul 9, 2013",422.35
"Jul 8, 2013",415.05
"Jul 5, 2013",417.42
"Jul 3, 2013",420.80
"Jul 2, 2013",418.49
"Jul 1, 2013",409.22
"Jun 28, 2013",396.53
